iter	RMSE
0	1.105846422
1	1.061707625
2	1.021000778
3	0.9847627639
4	0.9500546144
5	0.9193595275
6	0.8858737974
7	0.8594664317
8	0.8307686722
9	0.8078338443
10	0.7880236423
11	0.7691036329
12	0.747708598
13	0.73265482
14	0.7177559639
15	0.700993266
16	0.6886148587
17	0.6778708221
18	0.6681370673
19	0.6596260971
20	0.6489749818
21	0.6396268879
22	0.63296662
23	0.6265897183
24	0.6174039329
25	0.6122719607
26	0.607301518
27	0.5996269072
28	0.5949719484
29	0.5885872099
30	0.5835281207
31	0.5803276985
32	0.5749408495
33	0.5718810407
34	0.5686771392
35	0.5642893716
36	0.5622224345
37	0.5601459501
38	0.5557512865
39	0.5526122611
40	0.5494122322
41	0.5476285995
42	0.5462581362
43	0.544012829
44	0.5406919204
45	0.5396100983
46	0.5359741654
47	0.5346154566
48	0.5331451387
49	0.53147877
50	0.5299819445
51	0.52813975
52	0.5261183427
53	0.5249355162
54	0.5228526043
55	0.5216264042
56	0.5195292649
57	0.5181162616
58	0.5172027043
59	0.5168986274
60	0.5146349272
61	0.5133644322
62	0.5123668097
63	0.5116785929
64	0.5109966539
65	0.5106568739
66	0.509172734
67	0.5089461174
68	0.5084052105
69	0.5068877451
70	0.5062212366
71	0.5060203415
72	0.5059082358
73	0.5055308173
74	0.5046537201
75	0.5036262269
76	0.5019669324
77	0.500883918
78	0.4998574164
79	0.4996952636
80	0.4990115042
81	0.498446958
82	0.4984389488
83	0.4975540304
84	0.4972810005
85	0.4965985839
86	0.4963058356
87	0.4962991549
88	0.4955840161
89	0.4944730731
90	0.4938450724
91	0.4932645642
92	0.4932573926
93	0.4921742068
94	0.4912133305
95	0.4898345796
96	0.4889972494
97	0.487455015
98	0.4869882499
99	0.4869861322
100	0.4869534317
101	0.486952703
102	0.4862488589
103	0.4862473765
104	0.4857858884
105	0.4850704983
106	0.4841973794
107	0.4839579453
108	0.4833171537
109	0.4831806634
110	0.4828730288
111	0.482872271
112	0.4823368861
113	0.481484951
114	0.4814848589
115	0.4803924875
116	0.4803657328
117	0.4803422778
118	0.4795540715
119	0.4785469092
120	0.4771046436
121	0.4762772038
122	0.4762759465
123	0.4762748522
124	0.4762731758
125	0.4754822122
126	0.4749016276
127	0.4740190422
128	0.4740183638
129	0.4740182234
130	0.4740175918
131	0.4732768222
132	0.4726920275
133	0.4720030991
134	0.4717427139
135	0.4717425963
136	0.4716418347
137	0.4710633437
138	0.47106292
139	0.4710624256
140	0.4708522997
141	0.47085197
142	0.4708515932
143	0.4703648393
144	0.4697986318
145	0.4694470095
146	0.4694470095
147	0.4687284953
148	0.468728235
149	0.4687282114
150	0.4683555895
151	0.4681220528
152	0.4678225783
153	0.4678222939
154	0.4667550388
155	0.4658672076
156	0.4655792638
157	0.4655790256
158	0.4652427585
159	0.4641889232
160	0.4641886843
161	0.4641883976
162	0.4629161859
163	0.4629159463
164	0.4621761221
165	0.4617659147
166	0.4613258251
167	0.4608592086
168	0.4608586311
169	0.4605020128
170	0.4605016275
171	0.459998281
172	0.4599979917
173	0.4598322976
174	0.4590024466
175	0.4585236469
176	0.4575758381
177	0.4571679308
178	0.4571032588
179	0.4569917956
180	0.4566736583
181	0.4561837607
182	0.4552804056
183	0.4549461788
184	0.4543692751
185	0.4535755405
186	0.4532018381
187	0.4527973131
188	0.4521645015
189	0.4511255663
190	0.450950317
191	0.4504782459
192	0.4502174315
193	0.4500423461
194	0.4498864191
195	0.4497820679
196	0.4494856949
197	0.44932069
198	0.4489182257
199	0.4485707793
200	0.4483740043
201	0.4482703895
202	0.4481024377
203	0.4477014294
204	0.447348105
205	0.4472679804
206	0.4465716151
207	0.4464799511
208	0.4458192442
209	0.4455157547
210	0.4451981596
211	0.4448057269
212	0.4444481294
213	0.4443582983
214	0.4438201539
215	0.4432144327
216	0.4431323093
217	0.4426171776
218	0.4421491509
219	0.4415904099
220	0.441509391
221	0.4410196964
222	0.4408508185
223	0.4405648486
224	0.439593228
225	0.439556245
226	0.4390583609
227	0.4387010077
228	0.4384631837
229	0.4382762676
230	0.4378351848
231	0.4374415463
232	0.4373379531
233	0.4368398508
234	0.4365139619
235	0.4364910976
236	0.4364649292
237	0.4364502184
238	0.4364374889
239	0.4362200647
240	0.4358849609
241	0.4356538214
242	0.4352774961
243	0.4349788885
244	0.4343996676
245	0.4340444317
246	0.4335515489
247	0.4330419982
248	0.4326597873
249	0.4323827367
250	0.4321756917
251	0.4321565496
252	0.4319863888
253	0.4316089213
254	0.4313950786
255	0.4309958671
256	0.4305736477
257	0.4305581174
258	0.4305496052
259	0.4300831947
260	0.429599048
261	0.4291186448
262	0.4287651502
263	0.4284179514
264	0.4281757885
265	0.4279050346
266	0.427396406
267	0.4271755743
268	0.4268707277
269	0.4264001371
270	0.4260934215
271	0.4255691303
272	0.4252195436
273	0.4250747422
274	0.4247425286
275	0.4244144184
276	0.4239780993
277	0.4235481774
278	0.4232216436
279	0.4231179366
280	0.4229489636
281	0.422634732
282	0.4223776754
283	0.4223356927
284	0.4219047937
285	0.4215133918
286	0.4211123043
287	0.4205158693
288	0.420341537
289	0.4201501881
290	0.4197688664
291	0.4195096441
292	0.419173258
293	0.4190166944
294	0.4187437921
295	0.4187083442
296	0.4186564449
297	0.4183289953
298	0.4183288761
299	0.417643297
300	0.417299919
301	0.4172949497
302	0.4169095403
303	0.4167648451
304	0.4166946076
305	0.4165037532
306	0.4163878802
307	0.4161036732
308	0.4161036598
309	0.4156853349
310	0.4154473347
311	0.4152720362
312	0.4147994884
313	0.4147994216
314	0.4147968284
315	0.4146677225
316	0.4144787707
317	0.4143653422
318	0.4143652886
319	0.414365195
320	0.4143651548
321	0.4143651147
322	0.4142240416
323	0.413949145
324	0.4139490914
325	0.4139082229
326	0.4134789875
327	0.4134789473
328	0.4130854543
329	0.4130854006
330	0.4125169983
331	0.4123632321
332	0.4123631783
333	0.4121708697
334	0.4119540434
335	0.4117195559
336	0.4117195559
337	0.4115591868
338	0.4113749533
339	0.4112674636
340	0.410918299
341	0.410918299
342	0.4109156948
343	0.4109156813
344	0.4108753208
345	0.4107821702
346	0.4107798621
347	0.4107798216
348	0.4107057121
349	0.4107056446
350	0.4107056446
351	0.4107056041
352	0.4103632442
353	0.4103622038
354	0.4103621767
355	0.4103621362
356	0.4103621362
357	0.4102478669
358	0.4102478669
359	0.4101334845
360	0.409873877
361	0.4098382437
362	0.4095392565
363	0.4095345856
364	0.4093922543
365	0.4090436714
366	0.4088748487
367	0.4088735469
368	0.4082908345
369	0.4082908345
370	0.4082908209
371	0.4078641838
372	0.407862838
373	0.407862838
374	0.407862838
375	0.4078616689
376	0.4078603366
377	0.407860323
378	0.4076781309
379	0.4074249065
380	0.4074035944
381	0.4073935912
382	0.4073935367
383	0.407027972
384	0.406776551
385	0.4066936957
386	0.406575736
387	0.4062339083
388	0.4059251363
389	0.4057178868
390	0.405427048
391	0.4054269386
392	0.4054257078
393	0.4054101988
394	0.4052569103
395	0.4052568693
396	0.4051443487
397	0.4045823866
398	0.4045799472
399	0.4044131549
400	0.4044131412
401	0.4041126647
402	0.4038432969
403	0.4037554314
404	0.4037531243
405	0.4037521219
406	0.403751037
407	0.4037491556
408	0.4034853441
409	0.4034852342
410	0.4031355459
411	0.4031333729
412	0.4031332216
413	0.403004259
414	0.4026718886
415	0.4025398719
416	0.4022046501
417	0.402061696
418	0.4020595447
419	0.4018396358
420	0.4018337301
421	0.4015906687
422	0.4015889015
423	0.4015509865
424	0.4011474381
425	0.4009988805
426	0.400907349
427	0.4008754969
428	0.4007530714
429	0.4006445172
430	0.4001358234
431	0.3998551794
432	0.3998538482
433	0.3998528914
434	0.3996248171
435	0.3993070605
436	0.3988112868
437	0.3985643094
438	0.3985629182
439	0.3983166916
440	0.398315578
441	0.3983146175
442	0.398138502
443	0.3981373322
444	0.3979249537
445	0.397923853
446	0.3977636927
447	0.3973724841
448	0.397041069
449	0.3969837531
450	0.3965900974
451	0.3964166565
452	0.3964162788
453	0.3961309981
454	0.3960292974
455	0.3957074345
456	0.3955980144
457	0.3955121724
458	0.395418824
459	0.3949858918
460	0.3948221945
461	0.3946978072
462	0.3945845661
463	0.3945398508
464	0.3945386843
465	0.3945005134
466	0.3943278407
467	0.3941530527
468	0.3938909223
469	0.3936258142
470	0.3934812934
471	0.3933283743
472	0.3932815001
473	0.3931455121
474	0.3929328485
475	0.3928435731
476	0.392687483
477	0.3926225695
478	0.3924114876
479	0.3921846136
480	0.3920241029
481	0.3918940454
482	0.3917666055
483	0.3917005768
484	0.3916899744
485	0.3916352591
486	0.391446521
487	0.3913096828
488	0.3913084926
489	0.3912592932
490	0.3912582587
491	0.3909938756
492	0.3908363516
493	0.3905572167
494	0.3904347227
495	0.390185342
496	0.3898860311
497	0.389575261
498	0.3895718167
499	0.3891963507
500	0.3891641527
501	0.388971493
502	0.3889706805
503	0.3888059623
504	0.3885140089
505	0.3884413039
506	0.3883780077
507	0.388185572
508	0.3881249199
509	0.3880499129
510	0.3880446262
511	0.3878225605
512	0.3877986841
