iter	Passed	Remaining
0	56	30773
1	109	29512
2	155	27917
3	239	32173
4	293	31438
5	330	29460
6	389	29751
7	446	29768
8	523	30930
9	614	32620
10	702	33836
11	745	32875
12	796	32368
13	882	33230
14	920	32286
15	984	32320
16	1032	31813
17	1091	31717
18	1154	31711
19	1254	32667
20	1330	32940
21	1413	33352
22	1473	33178
23	1526	32883
24	1601	33050
25	1643	32552
26	1703	32427
27	1746	32006
28	1835	32399
29	1876	31958
30	1948	32048
31	2010	31976
32	2057	31668
33	2105	31398
34	2194	31729
35	2235	31359
36	2291	31215
37	2336	30928
38	2412	31056
39	2458	30792
40	2506	30571
41	2547	30272
42	2638	30561
43	2723	30758
44	2793	30794
45	2839	30554
46	2888	30355
47	2980	30613
48	3014	30272
49	3053	29988
50	3091	29697
51	3124	29384
52	3195	29423
53	3251	29319
54	3320	29338
55	3395	29406
56	3456	29353
57	3549	29558
58	3604	29450
59	3624	29058
60	3688	29022
61	3771	29136
62	3827	29039
63	3932	29309
64	3981	29158
65	4083	29385
66	4160	29432
67	4176	29049
68	4250	29074
69	4297	28917
70	4350	28797
71	4366	28442
72	4396	28186
73	4446	28059
74	4508	28013
75	4565	27931
76	4632	27913
77	4701	27904
78	4757	27821
79	4773	27505
80	4835	27458
81	4923	27561
82	4941	27269
83	5001	27212
84	5071	27207
85	5112	27048
86	5160	26930
87	5173	26631
88	5228	26554
89	5300	26560
90	5344	26431
91	5394	26328
92	5409	26058
93	5476	26043
94	5513	25884
95	5593	25930
96	5649	25859
97	5687	25708
98	5729	25582
99	5739	25312
100	5752	25060
101	5762	24801
102	5810	24708
103	5822	24466
104	5861	24339
105	5892	24182
106	5996	24323
107	6068	24329
108	6117	24243
109	6134	24037
110	6212	24066
111	6227	23853
112	6298	23857
113	6344	23765
114	6358	23553
115	6414	23503
116	6425	23286
117	6435	23071
118	6494	23029
119	6555	22997
120	6639	23045
121	6771	23255
122	6784	23056
123	6795	22851
124	6806	22652
125	6881	22664
126	6934	22606
127	6983	22533
128	6991	22330
129	6997	22122
130	7014	21952
131	7121	22065
132	7193	22067
133	7235	21976
134	7339	22072
135	7351	21891
136	7365	21719
137	7519	21960
138	7533	21787
139	7543	21607
140	7615	21605
141	7629	21436
142	7640	21265
143	7730	21312
144	7786	21264
145	7860	21267
146	7869	21093
147	7943	21091
148	7954	20927
149	7964	20760
150	8025	20729
151	8075	20667
152	8148	20662
153	8159	20504
154	8324	20731
155	8385	20693
156	8428	20614
157	8438	20455
158	8491	20401
159	8564	20393
160	8577	20245
161	8591	20099
162	8637	20030
163	8646	19877
164	8709	19847
165	8754	19777
166	8801	19710
167	8843	19633
168	8855	19493
169	8886	19392
170	8896	19249
171	8945	19191
172	8956	19051
173	9008	19001
174	9067	18963
175	9114	18902
176	9156	18830
177	9247	18858
178	9265	18737
179	9282	18616
180	9334	18565
181	9408	18559
182	9455	18496
183	9601	18628
184	9687	18642
185	9753	18616
186	9827	18603
187	9885	18560
188	9933	18500
189	9997	18468
190	10047	18410
191	10128	18410
192	10210	18411
193	10263	18357
194	10308	18291
195	10323	18170
196	10425	18204
197	10481	18157
198	10548	18128
199	10635	18133
200	10683	18071
201	10722	17993
202	10836	18042
203	10917	18035
204	10992	18017
205	11007	17899
206	11048	17826
207	11066	17716
208	11120	17664
209	11189	17637
210	11282	17645
211	11350	17613
212	11452	17636
213	11485	17550
214	11562	17531
215	11633	17503
216	11695	17462
217	11785	17462
218	11899	17495
219	11980	17480
220	11993	17365
221	12028	17283
222	12105	17262
223	12208	17277
224	12292	17263
225	12308	17156
226	12383	17129
227	12463	17110
228	12514	17050
229	12604	17044
230	12742	17100
231	12844	17107
232	12902	17055
233	13015	17075
234	13092	17048
235	13104	16936
236	13120	16829
237	13130	16716
238	13141	16605
239	13203	16559
240	13293	16548
241	13422	16583
242	13464	16512
243	13611	16567
244	13643	16483
245	13686	16412
246	13737	16351
247	13820	16328
248	13904	16305
249	13938	16224
250	13985	16158
251	14004	16060
252	14064	16009
253	14121	15956
254	14300	16038
255	14338	15962
256	14390	15902
257	14406	15802
258	14422	15703
259	14505	15677
260	14546	15605
261	14591	15537
262	14709	15548
263	14786	15514
264	14898	15516
265	14946	15452
266	15009	15402
267	15048	15328
268	15132	15301
269	15264	15321
